apt_id,ttp_id
APT-C-36,T1027
APT-C-36,T1036.004
APT-C-36,T1053.005
APT-C-36,T1059.005
APT-C-36,T1105
APT-C-36,T1204.002
APT-C-36,T1566.001
APT-C-36,T1571
APT-C-36,T1588.002
APT1,T1003.001
APT1,T1005
APT1,T1007
APT1,T1016
APT1,T1021.001
APT1,T1036.005
APT1,T1049
APT1,T1057
APT1,T1059.003
APT1,T1087.001
APT1,T1114.001
APT1,T1114.002
APT1,T1119
APT1,T1135
APT1,T1550.002
APT1,T1560.001
APT1,T1566.001
APT1,T1566.002
APT1,T1583.001
APT1,T1584.001
APT1,T1585.002
APT1,T1588.001
APT1,T1588.002
APT12,T1102.002
APT12,T1203
APT12,T1204.002
APT12,T1566.001
APT12,T1568.003
APT16,T1584.004
APT17,T1583.006
APT17,T1585
APT18,T1027.013
APT18,T1053.002
APT18,T1059.003
APT18,T1070.004
APT18,T1071.001
APT18,T1071.004
APT18,T1078
APT18,T1082
APT18,T1083
APT18,T1105
APT18,T1133
APT18,T1547.001
APT19,T1016
APT19,T1027.010
APT19,T1027.013
APT19,T1033
APT19,T1059
APT19,T1059.001
APT19,T1071.001
APT19,T1082
APT19,T1112
APT19,T1132.001
APT19,T1140
APT19,T1189
APT19,T1204.002
APT19,T1218.010
APT19,T1218.011
APT19,T1543.003
APT19,T1547.001
APT19,T1564.003
APT19,T1566.001
APT19,T1574.001
APT19,T1588.002
APT28,T1001.001
APT28,T1003
APT28,T1003.001
APT28,T1003.003
APT28,T1005
APT28,T1014
APT28,T1021.002
APT28,T1025
APT28,T1027.013
APT28,T1030
APT28,T1036
APT28,T1036.005
APT28,T1037.001
APT28,T1039
APT28,T1040
APT28,T1048.002
APT28,T1056.001
APT28,T1057
APT28,T1059.001
APT28,T1059.003
APT28,T1068
APT28,T1070.001
APT28,T1070.004
APT28,T1070.006
APT28,T1071.001
APT28,T1071.003
APT28,T1074.001
APT28,T1074.002
APT28,T1078
APT28,T1078.004
APT28,T1083
APT28,T1090.002
APT28,T1090.003
APT28,T1091
APT28,T1092
APT28,T1098.002
APT28,T1102.002
APT28,T1105
APT28,T1110
APT28,T1110.001
APT28,T1110.003
APT28,T1113
APT28,T1114.002
APT28,T1119
APT28,T1120
APT28,T1133
APT28,T1134.001
APT28,T1137.002
APT28,T1140
APT28,T1189
APT28,T1190
APT28,T1199
APT28,T1203
APT28,T1204.001
APT28,T1204.002
APT28,T1210
APT28,T1211
APT28,T1213
APT28,T1213.002
APT28,T1218.011
APT28,T1221
APT28,T1498
APT28,T1505.003
APT28,T1528
APT28,T1542.003
APT28,T1546.015
APT28,T1547.001
APT28,T1550.001
APT28,T1550.002
APT28,T1557.004
APT28,T1559.002
APT28,T1560
APT28,T1560.001
APT28,T1564.001
APT28,T1564.003
APT28,T1566.001
APT28,T1567
APT28,T1573.001
APT28,T1583.001
APT28,T1583.003
APT28,T1583.006
APT28,T1584.008
APT28,T1586.002
APT28,T1588.002
APT28,T1589.001
APT28,T1591
APT28,T1595.002
APT28,T1596
APT28,T1598
APT28,T1598.003
APT28,T1669
APT29,T1003.002
APT29,T1003.004
APT29,T1005
APT29,T1016.001
APT29,T1021.007
APT29,T1027.001
APT29,T1027.002
APT29,T1027.006
APT29,T1036.005
APT29,T1037
APT29,T1037.004
APT29,T1047
APT29,T1053.005
APT29,T1059.001
APT29,T1059.006
APT29,T1059.009
APT29,T1068
APT29,T1070.004
APT29,T1070.006
APT29,T1078
APT29,T1078.003
APT29,T1078.004
APT29,T1087.004
